"Label (Grouping)","HOUSEHOLDS","HOUSEHOLDS!!Total households","HOUSEHOLDS!!Average household size","FAMILIES","FAMILIES!!Total families","FAMILIES!!Average family size","AGE OF OWN CHILDREN","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years only","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!Under 6 years and 6 to 17 years","AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years!!6 to 17 years only","Total households","Total households!!SELECTED HOUSEHOLDS BY TYPE","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 60 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone","Total households!!SELECTED HOUSEHOLDS BY TYPE!!Householder living alone!!65 years and over","Total households!!UNITS IN STRUCTURE","Total households!!UNITS IN STRUCTURE!!1-unit structures","Total households!!UNITS IN STRUCTURE!!2-or-more-unit structures","Total households!!UNITS IN STRUCTURE!!Mobile homes and all other types of units","Total households!!HOUSING TENURE","Total households!!HOUSING TENURE!!Owner-occupied housing units","Total households!!HOUSING TENURE!!Renter-occupied housing units"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","2,016,448","2.45","","1,308,988","3.06","","505,646","20.9%","20.2%","58.9%","2,016,448","","28.8%","42.6%","32.3%","30.4%","12.2%","","73.3%","15.0%","11.7%","","70.2%","29.8%"
"        Margin of Error","","±11,475","±0.01","","±13,948","±0.03","","±11,074","±1.1","±1.0","±1.3","±11,475","","±0.5","±0.4","±0.3","±0.7","±0.4","","±0.5","±0.4","±0.3","","±0.6","±0.6"
"    Married-couple family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","941,596","3.08","","941,596","3.06","","331,807","21.5%","20.9%","57.7%","941,596","","38.3%","42.4%","(X)","(X)","(X)","","86.3%","3.8%","9.9%","","86.5%","13.5%"
"        Margin of Error","","±14,004","±0.02","","±14,004","±0.02","","±8,934","±1.4","±1.2","±1.7","±14,004","","±0.7","±0.6","(X)","(X)","(X)","","±0.6","±0.4","±0.5","","±0.7","±0.7"
"    Male householder, no spouse present, family household","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","90,528","3.22","","90,528","2.88","","37,640","24.7%","12.9%","62.4%","90,528","","51.3%","32.8%","(X)","(X)","(X)","","68.1%","12.9%","19.0%","","65.3%","34.7%"
"        Margin of Error","","±5,643","±0.09","","±5,643","±0.09","","±3,552","±4.4","±3.3","±4.9","±5,643","","±2.9","±2.8","(X)","(X)","(X)","","±3.4","±2.5","±2.5","","±3.4","±3.4"
