"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","488,344","58,089","176,620","208,994","44,641","3,474,924","118,034","271,263","1,057,155","716,144","311,537","609,316","391,475","3,085,627","1,000,791","652,152","599,976","196,612","632,416","562,939","202,288","1,277,343","1,132,566","365,267","913,013","790,146","236,624","","2,362,687","2,137,696","746,519","2,337,965","2,118,843","740,940","858,405","745,172","179,862","15,599","11,678","3,018","55,304","48,383","29,403","N","N","N","51,099","33,966","8,108","129,510","107,384","33,444","119,827","82,613","22,829","","(X)","(X)","(X)","(X)","","42,463","28,515","34,127","39,501","56,640","70,732"
"        Margin of Error","","±5,417","±4,934","±8,332","±8,746","±3,457","±5,963","±5,540","±9,491","±15,767","±14,771","±8,818","±12,278","±9,973","±11,891","±15,152","±6,978","±6,543","±6,902","±6,828","±6,958","±6,956","±6,783","±8,941","±9,117","±2,895","±5,107","±7,220","","±4,533","±10,361","±13,745","±3,997","±9,646","±13,653","±6,251","±6,945","±7,530","±1,716","±1,171","±738","±2,931","±3,018","±2,882","N","N","N","±4,731","±3,927","±1,935","±5,820","±6,458","±3,140","±2,958","±3,973","±2,441","","(X)","(X)","(X)","(X)","","±488","±1,683","±1,153","±944","±1,667","±1,893"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.9%","36.2%","42.8%","9.1%","(X)","3.4%","7.8%","30.4%","20.6%","9.0%","17.5%","11.3%","88.8%","28.8%","(X)","92.0%","30.1%","(X)","89.0%","32.0%","(X)","88.7%","28.6%","(X)","86.5%","25.9%","","(X)","90.5%","31.6%","(X)","90.6%","31.7%","(X)","86.8%","21.0%","(X)","74.9%","19.3%","(X)","87.5%","53.2%","(X)","N","N","(X)","66.5%","15.9%","(X)","82.9%","25.8%","(X)","68.9%","19.1%","","30.1%","17.1%","11.8%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.0","±1.6","±1.8","±0.7","(X)","±0.2","±0.3","±0.5","±0.4","±0.2","±0.4","±0.3","±0.3","±0.4","(X)","±0.6","±1.1","(X)","±0.7","±1.1","(X)","±0.5","±0.7","(X)","±0.5","±0.8","","(X)","±0.4","±0.6","(X)","±0.4","±0.6","(X)","±0.7","±0.9","(X)","±4.6","±4.4","(X)","±2.1","±3.9","(X)","N","N","(X)","±4.0","±3.5","(X)","±2.5","±2.2","(X)","±3.0","±1.9","","±1.5","±0.8","±0.6","±0.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","245,043","34,613","98,665","93,866","17,899","1,648,857","62,963","146,858","527,792","332,114","122,664","285,156","171,310","1,439,036","456,466","322,422","293,467","82,808","308,148","267,264","88,244","618,362","532,755","167,880","399,925","345,550","117,534","","1,143,616","1,020,398","358,126","1,131,744","1,011,376","355,147","382,782","323,090","63,147","7,222","5,564","1,165","23,720","20,736","13,835","N","N","N","28,396","18,018","3,655","61,936","50,444","16,101","60,757","40,456","11,146","","(X)","(X)","(X)","(X)","","51,867","32,089","41,600","51,002","71,465","92,889"
"        Margin of Error","","±4,090","±3,501","±4,827","±4,989","±2,194","±5,031","±4,035","±6,730","±11,851","±9,224","±5,775","±7,674","±6,334","±8,730","±9,006","±4,963","±5,189","±4,523","±4,949","±5,760","±4,184","±4,853","±5,877","±5,640","±1,761","±3,836","±4,693","","±3,121","±6,744","±8,091","±2,581","±6,569","±8,037","±4,649","±5,327","±4,333","±897","±830","±426","±1,969","±1,924","±1,868","N","N","N","±3,005","±2,539","±1,072","±3,810","±3,758","±2,012","±2,457","±2,502","±1,386","","(X)","(X)","(X)","(X)","","±578","±1,079","±795","±1,153","±2,183","±5,549"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.1%","40.3%","38.3%","7.3%","(X)","3.8%","8.9%","32.0%","20.1%","7.4%","17.3%","10.4%","87.3%","27.7%","(X)","91.0%","25.7%","(X)","86.7%","28.6%","(X)","86.2%","27.1%","(X)","86.4%","29.4%","","(X)","89.2%","31.3%","(X)","89.4%","31.4%","(X)","84.4%","16.5%","(X)","77.0%","16.1%","(X)","87.4%","58.3%","(X)","N","N","(X)","63.5%","12.9%","(X)","81.4%","26.0%","(X)","66.6%","18.3%","","27.3%","13.7%","8.2%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.4","±1.9","±1.9","±0.9","(X)","±0.2","±0.4","±0.7","±0.5","±0.4","±0.5","±0.4","±0.4","±0.6","(X)","±0.9","±1.4","(X)","±1.1","±1.3","(X)","±0.8","±0.9","(X)","±1.0","±1.2","","(X)","±0.5","±0.7","(X)","±0.5","±0.7","(X)","±1.0","±1.1","(X)","±7.3","±5.8","(X)","±2.8","±5.6","(X)","N","N","(X)","±4.7","±3.6","(X)","±3.0","±3.0","(X)","±3.3","±2.1","","±1.8","±1.0","±0.8","±0.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","243,301","23,476","77,955","115,128","26,742","1,826,067","55,071","124,405","529,363","384,030","188,873","324,160","220,165","1,646,591","544,325","329,730","306,509","113,804","324,268","295,675","114,044","658,981","599,811","197,387","513,088","444,596","119,090","","1,219,071","1,117,298","388,393","1,206,221","1,107,467","385,793","475,623","422,082","116,715","8,377","6,114","1,853","31,584","27,647","15,568","N","N","N","22,703","15,948","4,453","67,574","56,940","17,343","59,070","42,157","11,683","","(X)","(X)","(X)","(X)","","35,268","22,016","26,337","31,607","46,955","60,575"
"        Margin of Error","","±3,549","±3,228","±6,355","±6,767","±3,097","±4,132","±3,929","±6,244","±11,543","±10,114","±7,009","±9,372","±7,297","±7,524","±10,481","±4,360","±4,274","±5,065","±4,460","±4,835","±5,248","±4,028","±5,486","±6,786","±2,138","±3,615","±4,775","","±2,866","±5,998","±8,987","±2,204","±5,583","±8,832","±3,866","±5,146","±5,711","±1,292","±876","±515","±2,033","±2,012","±1,718","N","N","N","±2,499","±2,278","±1,426","±3,452","±3,791","±1,964","±1,879","±2,811","±1,900","","(X)","(X)","(X)","(X)","","±544","±1,548","±850","±507","±1,427","±1,235"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","9.6%","32.0%","47.3%","11.0%","(X)","3.0%","6.8%","29.0%","21.0%","10.3%","17.8%","12.1%","90.2%","29.8%","(X)","93.0%","34.5%","(X)","91.2%","35.2%","(X)","91.0%","30.0%","(X)","86.7%","23.2%","","(X)","91.7%","31.9%","(X)","91.8%","32.0%","(X)","88.7%","24.5%","(X)","73.0%","22.1%","(X)","87.5%","49.3%","(X)","N","N","(X)","70.2%","19.6%","(X)","84.3%","25.7%","(X)","71.4%","19.8%","","33.2%","20.5%","14.7%","5.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
