state,top_model,top_model_share_of_statewide_used_car_sales,second_best_model,second_best_model_share_of_statewide_used_car_sales,third_best_model,third_best_model_share_of_statewide_used_car_sales,fourth_best_model,fourth_best_model_share_of_statewide_used_car_sales,fifth_best_model,fifth_best_model_share_of_statewide_used_car_sales
Alabama,Ford F-150,3.8,Chevrolet Silverado 1500,3.7,Toyota Camry,3,Nissan Altima,2.4,Ram 1500,2
Alaska,Ford F-150,4.6,Ram 1500,4.2,Chevrolet Silverado 1500,3.8,Jeep Grand Cherokee,2.5,Toyota Tacoma,2
Arizona,Ford F-150,2.6,Chevrolet Silverado 1500,2.6,Ram 1500,2.3,Toyota Tacoma,2,Toyota Camry,2
Arkansas,Ford F-150,4.1,Chevrolet Silverado 1500,3.9,GMC Sierra 1500,3.5,Ram 1500,3.1,Toyota Camry,1.8
California,Honda Civic,3.5,Toyota Camry,2.6,Honda Accord,2.5,Toyota Corolla,2.2,Toyota Tacoma,2
Colorado,Ford F-150,4.3,Ram 1500,2.6,Chevrolet Silverado 1500,2.3,Toyota Tacoma,2.1,Toyota 4Runner,1.9
Connecticut,Ford F-150,4.3,Ram 1500,2.6,Chevrolet Silverado 1500,2.3,Toyota Tacoma,2.1,Honda Civic,1.8
Delaware,Chevrolet Equinox,2.8,Chevrolet Silverado 1500,2.7,Ford F-150,2.6,Ram 1500,2.3,Jeep Grand Cherokee,2.1
Florida,Toyota Corolla,3.1,Ford F-150,2.6,Toyota Camry,2.2,Toyota RAV4,2,Chevrolet Silverado 1500,2
Georgia,Ford F-150,3.4,Chevrolet Silverado 1500,2.8,Toyota Camry,2.3,Ram 1500,2.1,Nissan Altima,2
Hawaii,Toyota Tacoma,5.2,Honda Civic,3.1,Toyota Corolla,3,Toyota 4Runner,2.7,Honda CR-V,2.2
Idaho,Ford F-150,5.8,Chevrolet Silverado 1500,3.9,Ram 1500,3.7,Toyota Tacoma,2.8,GMC Sierra 1500,2.3
Illinois,Ford F-150,5.8,Chevrolet Silverado 1500,3.9,Ram 1500,3.7,Toyota Tacoma,2.8,GMC Sierra 1500,2.3
Indiana,Chevrolet Equinox,4,Chevrolet Silverado 1500,3.4,Ford F-150,3.2,Ram 1500,2.5,Ford Escape,2.3
Iowa,Chevrolet Silverado 1500,6,Ford F-150,5.5,Chevrolet Equinox,4.3,Ram 1500,3.4,Ford Escape,2.5
